Dataflow,REF_AREA,UNICEF_INDICATOR,SEX,AGE,RESIDENCE,WEALTH_QUINTILE,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_FOOTNOTE,FREQ,DATA_SOURCE,UNIT_MULTIPLIER,OBS_STATUS
ECARO:TRANSMONEE(1.0),ALB,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.617,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),AZE,DM_FRATE_TOT,_T,_T,_T,_T,2018,2.082,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ARM,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.755,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BIH,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.265,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BGR,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.563,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),BLR,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.718,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),HRV,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.44,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),CZE,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.642,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),EST,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.591,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),GEO,DM_FRATE_TOT,_T,_T,_T,_T,2018,2.06,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),HUN,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.491,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),KAZ,DM_FRATE_TOT,_T,_T,_T,_T,2018,2.748,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),KGZ,DM_FRATE_TOT,_T,_T,_T,_T,2018,3.009,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),LVA,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.711,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),LTU,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.676,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),MDA,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.262,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),MNE,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.745,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),POL,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.421,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),ROU,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.619,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),RUS,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.824,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),SRB,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.451,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),SVK,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.505,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),SVN,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.608,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),TJK,DM_FRATE_TOT,_T,_T,_T,_T,2018,3.585,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),TUR,DM_FRATE_TOT,_T,_T,_T,_T,2018,2.069,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),TKM,DM_FRATE_TOT,_T,_T,_T,_T,2018,2.786,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),UKR,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.446,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),MKD,DM_FRATE_TOT,_T,_T,_T,_T,2018,1.496,PCNT,,,UNPD2019,0,
ECARO:TRANSMONEE(1.0),UZB,DM_FRATE_TOT,_T,_T,_T,_T,2018,2.414,PCNT,,,UNPD2019,0,
